1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
4,3,3,3,2,3,2,3,3,2,2,2,3,2,2,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,
13,6,5,5,5,6,6,6,6,6,6,6,6,5,6,6,6,6,5,6,6,6,6,6,6,5,5,6,5,6,
19,12,11,12,12,11,12,12,12,11,12,12,25,3,4,4,3,4,3,4,3,4,4,4,3,3,3,4,4,3,
13,7,8,7,7,8,8,7,8,8,7,8,8,7,7,7,7,13,8,8,8,7,8,7,8,7,7,7,8,7,
27,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,
57,32,32,32,33,32,32,32,32,32,32,33,32,32,32,32,32,32,33,32,32,32,32,32,32,32,32,32,32,32,
108,67,65,77,62,62,62,66,62,62,62,62,62,62,62,62,62,63,62,62,62,62,63,63,64,63,63,77,61,60,
210,144,120,120,120,128,120,135,115,115,117,116,115,115,117,115,115,115,115,115,127,111,126,137,112,111,111,125,113,127,
378,217,215,216,209,212,220,203,203,202,202,213,196,195,195,200,195,195,198,210,191,190,192,194,195,197,190,190,190,192,
700,432,435,381,380,380,381,380,402,382,380,380,389,389,380,380,407,381,385,369,370,369,370,368,371,369,369,413,369,372,
1282,746,749,758,750,755,742,737,740,738,740,737,739,739,740,737,741,739,740,698,698,703,702,704,678,665,680,680,677,683,
2280,1441,1341,1312,1321,1345,1323,1302,1375,1360,1352,1311,1320,1283,1281,1315,1285,1277,1280,1250,1270,1331,1263,1355,1282,1434,1275,1282,1239,1306,
4343,2881,3153,3042,2725,2963,2783,3040,2913,3074,2846,3008,2860,3039,3004,3220,3085,3370,3097,3358,3122,3280,2991,3361,3096,3251,3127,3350,3162,3810,
10185,6655,6197,6942,6225,6843,6201,6835,6247,7038,6396,6892,6213,6896,6205,7015,6211,7067,6206,7289,6227,7473,6436,7261,6455,7387,6392,7216,6245,7801,
20327,12616,12580,12834,11501,12935,12412,12876,11911,12954,11760,13959,12469,13025,12148,13327,13583,14182,13127,14480,12518,14501,12467,14399,12303,13721,12501,14398,12666,15939,
39427,24788,24396,26624,24230,26347,24123,26932,25116,27734,25150,28056,25052,27752,25001,29108,24874,28271,25651,29383,25754,29298,25184,28765,25462,29020,25327,28838,25036,31403,
76549,56016,49397,54322,47457,53567,48113,54374,48130,53087,46112,51603,45711,52756,46825,52344,45896,53217,46325,53419,46857,53115,46435,52705,46575,52096,46581,53584,46638,58322,
145624,99546,91995,103123,91577,103556,91497,101771,92029,103239,91555,102992,91717,103450,91791,105111,91681,105337,92048,106055,92432,106246,92288,108052,91977,106616,91959,105216,93417,117181,
296782,199010,184006,206897,182727,206119,182826,205091,182524,205187,183328,206199,183018,207504,182267,208427,182764,223495,183518,211433,184193,211841,184013,211748,183903,212411,184306,211478,185493,244609,
586162,398188,369336,415274,365419,431406,364995,423812,367267,442381,367778,416179,366882,415537,368550,419577,372807,422504,370975,426863,371385,427283,372206,424076,372749,425318,375766,424043,372715,481446,
1190145,806022,746184,840063,726841,859511,737488,849629,736967,848525,731051,839744,733281,834042,733851,843892,733470,852216,735360,850758,735961,849557,737573,856158,738590,846541,740113,849872,741735,1002627,
